,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
68,69,Ice Age: Continental Drift,877244782.0,161321843.0,18.4,715922939.0,81.6,2012
69,70,The Secret Life of Pets,875457937.0,368384330.0,42.1,507073607.0,57.9,2016
70,71,Batman v Superman: Dawn of Justice,873634919.0,330360194.0,37.8,543274725.0,62.2,2016
71,72,Wolf Warrior 2,870325439.0,2721100.0,0.3,867604339.0,99.7,2017
72,73,Star Wars: Episode III - Revenge of the Sith,868390560.0,380270577.0,43.8,488119983.0,56.2,2005
73,74,The Hunger Games: Catching Fire,865011746.0,424668047.0,49.1,440343699.0,50.9,2013
74,75,Guardians of the Galaxy Vol. 2,863756051.0,389813101.0,45.1,473942950.0,54.9,2017
75,76,Inside Out,857611174.0,356461711.0,41.6,501149463.0,58.4,2015
76,77,Venom,856085151.0,213515506.0,24.9,642569645.0,75.1,2018
77,78,Thor: Ragnarok,853977126.0,315058289.0,36.9,538918837.0,63.1,2017
78,79,Transformers: Revenge of the Fallen,836303693.0,402111870.0,48.1,434191823.0,51.9,2009
79,80,Inception,829895144.0,292576195.0,35.2,537318949.0,64.8,2010
80,81,The Twilight Saga: Breaking Dawn - Part 2,829746820.0,292324737.0,35.2,537422083.0,64.8,2012
81,82,Spider-Man,825025036.0,407022860.0,49.3,418002176.0,50.7,2002
82,83,Wonder Woman,821847012.0,412563408.0,50.2,409283604.0,49.8,2017
83,84,Independence Day,817400891.0,306169268.0,37.5,511231623.0,62.5,1996
84,85,Fantastic Beasts and Where to Find Them,814037575.0,234037575.0,28.8,580000000.0,71.2,2016
85,86,Shrek the Third,813367380.0,322719944.0,39.7,490647436.0,60.3,2007
86,87,Coco,807082196.0,209726015.0,26.0,597356181.0,74.0,2017
87,88,Harry Potter and the Prisoner of Azkaban,796093802.0,249975996.0,31.4,546117806.0,68.6,2004
88,89,Pirates of the Caribbean: Dead Men Tell No Tales,794861794.0,172558876.0,21.7,622302918.0,78.3,2017
89,90,E.T. the Extra-Terrestrial,793482178.0,435110554.0,54.8,358371624.0,45.2,1982
90,91,Jumanji: The Next Level,791346643.0,314204319.0,39.7,477142324.0,60.3,2019
91,92,2012,791217826.0,166112167.0,21.0,625105659.0,79.0,2009
92,93,Mission: Impossible - Fallout,791115104.0,220159104.0,27.8,570956000.0,72.2,2018
93,94,Indiana Jones and the Kingdom of the Crystal Skull,790653942.0,317101119.0,40.1,473552823.0,59.9,2008
94,95,Spider-Man 2,788976453.0,373585825.0,47.4,415390628.0,52.6,2004
95,96,Fast & Furious 6,788679850.0,238679850.0,30.3,550000000.0,69.7,2013
96,97,Deadpool 2,785794179.0,324591735.0,41.3,461202444.0,58.7,2018
97,98,Deadpool,782612155.0,363070709.0,46.4,419541446.0,53.6,2016
98,99,Star Wars: Episode IV - A New Hope,775512064.0,460998507.0,59.4,314513557.0,40.6,1977
99,100,Guardians of the Galaxy,772776600.0,333176600.0,43.1,439600000.0,56.9,2014
