,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
311,312,Solo: A Star Wars Story,392924807.0,213767512.0,54.4,179157295.0,45.6,2018
312,313,The Wolf of Wall Street,392000694.0,116900694.0,29.8,275100000.0,70.2,2013
313,314,Superman Returns,391081192.0,200081192.0,51.2,191000000.0,48.8,2006
314,315,Robin Hood: Prince of Thieves,390493908.0,165493908.0,42.4,225000000.0,57.6,1991
315,316,Raiders of the Lost Ark,390133212.0,248159971.0,63.6,141973241.0,36.4,1981
316,317,Independence Day: Resurgence,389681935.0,103144286.0,26.5,286537649.0,73.5,2016
317,318,Back to the Future,388355305.0,211159762.0,54.4,177195543.0,45.6,1985
318,319,Live Free or Die Hard,388156011.0,134529403.0,34.7,253626608.0,65.3,2007
319,320,Monster Hunt,387053506.0,32766.0,0.1,387020740.0,99.9,2015
320,321,Godzilla: King of the Monsters,386600138.0,110500138.0,28.6,276100000.0,71.4,2019
321,322,Home,386041607.0,177397510.0,46.0,208644097.0,54.0,2015
322,323,Star Trek,385680446.0,257730019.0,66.8,127950427.0,33.2,2009
323,324,Happy Feet,384335608.0,198000317.0,51.5,186335291.0,48.5,2006
324,325,Cars 3,383930656.0,152901115.0,39.8,231029541.0,60.2,2017
325,326,Ice Age,383257136.0,176387405.0,46.0,206869731.0,54.0,2002
326,327,Fifty Shades Darker,381545846.0,114581250.0,30.0,266964596.0,70.0,2017
327,328,Monsters vs. Aliens,381509870.0,198351526.0,52.0,183158344.0,48.0,2009
328,329,Godzilla,379014294.0,136314294.0,36.0,242700000.0,64.0,1998
329,330,True Lies,378882411.0,146282411.0,38.6,232600000.0,61.4,1994
330,331,Slumdog Millionaire,378060798.0,141319928.0,37.4,236740870.0,62.6,2008
331,332,Taken 2,376141306.0,139854287.0,37.2,236287019.0,62.8,2012
332,333,G.I. Joe: Retaliation,375740705.0,122523060.0,32.6,253217645.0,67.4,2013
333,334,Spider-Man: Into the Spider-Verse,375540831.0,190241310.0,50.7,185299521.0,49.3,2018
334,335,Mad Max: Fury Road,375209362.0,154058340.0,41.1,221151022.0,58.9,2015
335,336,Shark Tale,374583879.0,160861908.0,42.9,213721971.0,57.1,2004
336,337,Once Upon a Time... in Hollywood,374341301.0,142502728.0,38.1,231838573.0,61.9,2019
337,338,What Women Want,374111707.0,182811707.0,48.9,191300000.0,51.1,2000
338,339,The Adventures of Tintin,373993951.0,77591831.0,20.8,296402120.0,79.2,2011
339,340,Penguins of Madagascar,373515621.0,83850911.0,22.4,289664710.0,77.6,2014
340,341,Batman Begins,373413297.0,206852432.0,55.4,166560865.0,44.6,2005
341,342,X-Men Origins: Wolverine,373062864.0,179883157.0,48.2,193179707.0,51.8,2009
342,343,The Golden Compass,372234864.0,70107728.0,18.8,302127136.0,81.2,2007
343,344,Fifty Shades Freed,371985018.0,100407760.0,27.0,271577258.0,73.0,2018
344,345,Hitch,371594210.0,179495555.0,48.3,192098655.0,51.7,2005
345,346,Terminator Salvation,371353001.0,125322469.0,33.8,246030532.0,66.2,2009
346,347,Captain America: The First Avenger,370569774.0,176654505.0,47.7,193915269.0,52.3,2011
347,348,Edge of Tomorrow,370541256.0,100206256.0,27.0,270335000.0,73.0,2014
348,349,There's Something About Mary,369884651.0,176484651.0,47.7,193400000.0,52.3,1998
349,350,Gone Girl,369330363.0,167767189.0,45.4,201563174.0,54.6,2014
350,351,The Fugitive,368875760.0,183875760.0,49.8,185000000.0,50.2,1993
351,352,Jurassic Park III,368780809.0,181171875.0,49.1,187608934.0,50.9,2001
352,353,My Big Fat Greek Wedding,368744044.0,241438208.0,65.5,127305836.0,34.5,2002
353,355,Die Hard with a Vengeance,366236538.0,100012499.0,27.3,266224039.0,72.7,1995
354,356,Shazam!,365971656.0,140371656.0,38.4,225600000.0,61.6,2019
355,357,The Nun,365550119.0,117450119.0,32.1,248100000.0,67.9,2018
356,358,Alvin and the Chipmunks,365352546.0,217326974.0,59.5,148025572.0,40.5,2007
357,359,Home Alone 2: Lost in New York,365154932.0,173585516.0,47.5,191569416.0,52.5,1992
358,360,Notting Hill,363944522.0,116089678.0,31.9,247854844.0,68.1,1999
359,361,A Bug's Life,363258859.0,162798565.0,44.8,200460294.0,55.2,1998
360,362,Night at the Museum: Secret of the Tomb,363204635.0,113746621.0,31.3,249458014.0,68.7,2014
361,363,1917,362957574.0,156457574.0,43.1,206500000.0,56.9,2019
362,364,Ocean's Twelve,362744280.0,125544280.0,34.6,237200000.0,65.4,2004
363,365,Planet of the Apes,362211740.0,180011740.0,49.7,182200000.0,50.3,2001
364,366,The Hangover Part III,362000072.0,112200072.0,31.0,249800000.0,69.0,2013
365,367,The World Is Not Enough,361832400.0,126943684.0,35.1,234888716.0,64.9,1999
366,368,Monster Hunt 2,361682618.0,706153.0,0.2,360976465.0,99.8,2018
367,369,Fast & Furious,360364265.0,155064265.0,43.0,205300000.0,57.0,2009
368,370,Noah,359200044.0,101200044.0,28.2,258000000.0,71.8,2014
369,371,The Karate Kid,359126022.0,176591618.0,49.2,182534404.0,50.8,2010
370,372,Your Name.,358922706.0,5017246.0,1.4,353905460.0,98.6,2016
371,373,Hotel Transylvania,358375603.0,148313048.0,41.4,210062555.0,58.6,2011
372,374,Minority Report,358372926.0,132072926.0,36.8,226300000.0,63.2,2002
373,375,Top Gun,356830601.0,179800601.0,50.4,177030000.0,49.6,1986
374,376,The Legend of Tarzan,356700357.0,126643061.0,35.5,230057296.0,64.5,2016
375,377,American Beauty,356296601.0,130096601.0,36.5,226200000.0,63.5,1999
376,378,Apollo 13,355237933.0,173837933.0,48.9,181400000.0,51.1,1995
377,379,Rain Man,354825435.0,172825435.0,48.7,182000000.0,51.3,1988
378,380,The Great Gatsby,353641895.0,144840419.0,41.0,208801476.0,59.0,2013
379,381,Dumbo,353284621.0,114766307.0,32.5,238518314.0,67.5,2019
380,382,"I, Robot",353133898.0,144801023.0,41.0,208332875.0,59.0,2004
381,383,Basic Instinct,352927224.0,117727224.0,33.4,235200000.0,66.6,1992
382,384,Murder on the Orient Express,352789811.0,102826543.0,29.2,249963268.0,70.8,2017
383,385,X-Men: First Class,352616690.0,146408305.0,41.5,206208385.0,58.5,2011
384,386,The Angry Birds Movie,352333929.0,107509366.0,30.5,244824563.0,69.5,2016
385,387,GoldenEye,352194034.0,106429941.0,30.2,245764093.0,69.8,1995
386,388,Catch Me If You Can,352114312.0,164615351.0,46.8,187498961.0,53.2,2002
387,389,Now You See Me,351723989.0,117723989.0,33.5,234000000.0,66.5,2013
388,390,Hannibal,351692268.0,165092268.0,46.9,186600000.0,53.1,2001
389,391,The Mask,351583407.0,119938730.0,34.1,231644677.0,65.9,1994
390,392,Peter Rabbit,351266433.0,115253424.0,32.8,236013009.0,67.2,2018
391,393,Speed,350448145.0,121248145.0,34.6,229200000.0,65.4,1994
392,394,Dinosaur,349822765.0,137748063.0,39.4,212074702.0,60.6,2000
393,395,Mary Poppins Returns,349537494.0,171958438.0,49.2,177579056.0,50.8,2018
394,396,Deep Impact,349464664.0,140464664.0,40.2,209000000.0,59.8,1998
395,397,The Lorax,348840316.0,214030500.0,61.4,134809816.0,38.6,2012
396,398,The Maze Runner,348319861.0,102427862.0,29.4,245891999.0,70.6,2014
397,399,Spirited Away,347742810.0,13750644.0,4.0,333992166.0,96.0,2001
398,400,The Smurfs 2,347545360.0,71017784.0,20.4,276527576.0,79.6,2013
399,401,National Treasure,347512318.0,173008894.0,49.8,174503424.0,50.2,2004
400,402,Rush Hour 2,347325802.0,226164286.0,65.1,121161516.0,34.900000000000006,2001
401,403,Trolls,346864462.0,153707064.0,44.3,193157398.0,55.7,2016
402,404,xXx: Return of Xander Cage,346118277.0,44898413.0,13.0,301219864.0,87.0,2017
403,405,Pocahontas,346079773.0,141579773.0,40.9,204500000.0,59.1,1995
404,406,How the Grinch Stole Christmas,345141403.0,260044825.0,75.3,85096578.0,24.700000000000003,2000
405,407,Star Trek Beyond,343471816.0,158848340.0,46.2,184623476.0,53.8,2016
406,408,Alvin and the Chipmunks: Chipwrecked,342695435.0,133110742.0,38.8,209584693.0,61.2,2011
407,409,Wanted,342463063.0,134508551.0,39.3,207954512.0,60.7,2008
408,410,The Flintstones,341631208.0,130531208.0,38.2,211100000.0,61.8,1994
409,411,A Quiet Place,340939361.0,188024361.0,55.2,152915000.0,44.8,2018
410,412,Enchanted,340487652.0,127807262.0,37.5,212680390.0,62.5,2007
411,413,Over the Hedge,339795890.0,155019340.0,45.6,184776550.0,54.4,2006
412,414,300: Rise of an Empire,337580051.0,106580051.0,31.6,231000000.0,68.4,2014
413,415,Batman Forever,336567531.0,184069126.0,54.7,152498405.0,45.3,1995
414,416,Prince of Persia: The Sands of Time,336365676.0,90759676.0,27.0,245606000.0,73.0,2009
415,417,Back to the Future Part II,335949377.0,119000002.0,35.4,216949375.0,64.6,1989
416,418,The Curious Case of Benjamin Button,335802786.0,127509326.0,38.0,208293460.0,62.0,2008
417,419,Journey 2: The Mysterious Island,335260290.0,103860290.0,31.0,231400000.0,69.0,2012
418,420,The Rock,335062621.0,134069511.0,40.0,200993110.0,60.0,1996
419,421,The Great Wall,334933831.0,45540830.0,13.6,289393001.0,86.4,2016
420,422,Now You See Me 2,334897606.0,65075540.0,19.4,269822066.0,80.6,2016
421,424,Fantastic Four,333535934.0,154696080.0,46.4,178839854.0,53.6,2005
422,425,Indiana Jones and the Temple of Doom,333107271.0,179870271.0,54.0,153237000.0,46.0,1984
423,426,Tomorrow Never Dies,333011068.0,125304276.0,37.6,207706792.0,62.4,1997
424,427,The Good Dinosaur,332207671.0,123087120.0,37.0,209120551.0,63.0,2015
425,428,22 Jump Street,331333876.0,191719337.0,57.9,139614539.0,42.1,2014
426,429,Meet the Parents,330444045.0,166244045.0,50.3,164200000.0,49.7,2000
427,430,Who Framed Roger Rabbit,329803958.0,156452370.0,47.4,173351588.0,52.6,1988
428,431,Black Swan,329398046.0,106954678.0,32.5,222443368.0,67.5,2010
429,432,Green Book,329332303.0,85080171.0,25.8,244252132.0,74.2,2018
430,433,The Perfect Storm,328718434.0,182618434.0,55.6,146100000.0,44.4,2000
431,434,Crocodile Dundee,328203506.0,174803506.0,53.3,153400000.0,46.7,1986
432,435,The Devil Wears Prada,327893740.0,124740460.0,38.0,203153280.0,62.0,2006
433,437,Se7en,327333559.0,100125643.0,30.6,227207916.0,69.4,1995
434,438,John Wick: Chapter 3 - Parabellum,326709727.0,171015687.0,52.3,155694040.0,47.7,2019
435,439,Taken 3,326479141.0,89256424.0,27.3,237222717.0,72.7,2015
436,440,The Hunchback of Notre Dame,325338851.0,100138851.0,30.8,225200000.0,69.2,1996
437,441,A Christmas Carol,325286646.0,137855863.0,42.4,187430783.0,57.6,2009
438,442,The SpongeBob Movie: Sponge Out of Water,325186032.0,162994032.0,50.1,162192000.0,49.9,2015
439,443,Schindler's List,322243445.0,96898818.0,30.1,225344627.0,69.9,1993
440,444,Megamind,321885765.0,148415853.0,46.1,173469912.0,53.9,2010
441,445,Lethal Weapon 3,321731527.0,144731527.0,45.0,177000000.0,55.0,1992
442,446,The Ugly Truth,321682600.0,88915214.0,27.6,232767386.0,72.4,2009
443,447,Robin Hood,321669741.0,105269730.0,32.7,216400011.0,67.3,2010
444,448,Inglourious Basterds,321455689.0,120540719.0,37.5,200914970.0,62.5,2009
445,449,101 Dalmatians,320689294.0,136189294.0,42.5,184500000.0,57.5,1996
446,450,The Conjuring 2,320392818.0,102470008.0,32.0,217922810.0,68.0,2016
447,451,Fatal Attraction,320145693.0,156645693.0,48.9,163500000.0,51.1,1987
448,452,The Last Airbender,319713881.0,131772187.0,41.2,187941694.0,58.8,2010
449,453,The Conjuring,319494638.0,137400141.0,43.0,182094497.0,57.0,2013
450,454,The Proposal,317375031.0,163958031.0,51.7,153417000.0,48.3,2009
451,455,A Beautiful Mind,316791257.0,170742341.0,53.9,146048916.0,46.1,2001
452,456,Beverly Hills Cop,316360478.0,234760478.0,74.2,81600000.0,25.799999999999997,1984
453,457,Air Force One,315156409.0,172956409.0,54.9,142200000.0,45.1,1997
454,458,The Expendables 2,314975955.0,85028192.0,27.0,229947763.0,73.0,2012
455,459,Chicken Little,314432837.0,135386665.0,43.1,179046172.0,56.9,2005
456,460,As Good as It Gets,314178011.0,148478011.0,47.3,165700000.0,52.7,1997
457,461,The Polar Express,313500433.0,187224490.0,59.7,126275943.0,40.3,2004
458,462,Maze Runner: The Scorch Trials,312296056.0,81697192.0,26.2,230598864.0,73.8,2015
459,463,Resident Evil: The Final Chapter,312242626.0,26830068.0,8.6,285412558.0,91.4,2016
460,464,Austin Powers: The Spy Who Shagged Me,312016928.0,206040086.0,66.0,105976842.0,34.0,1999
461,465,The Lego Batman Movie,311950384.0,175750384.0,56.3,136200000.0,43.7,2017
462,466,Ocean's Thirteen,311312624.0,117154724.0,37.6,194157900.0,62.4,2007
463,467,Little Fockers,310650585.0,148438600.0,47.8,162211985.0,52.2,2010
464,468,Bolt,309979994.0,114053579.0,36.8,195926415.0,63.2,2008
465,469,Ransom,309492681.0,136492681.0,44.1,173000000.0,55.9,1996
466,470,Runaway Bride,309460292.0,152257509.0,49.2,157202783.0,50.8,1999
467,471,The Blind Side,309208309.0,255959475.0,82.8,53248834.0,17.200000000000003,2009
468,472,Knives Out,308157155.0,164698675.0,53.4,143458480.0,46.6,2019
469,473,The Ex-File 3: The Return of The Exes,307592427.0,838959.0,0.3,306753468.0,99.7,2017
470,474,The Fault in Our Stars,307166834.0,124872350.0,40.6,182294484.0,59.4,2014
471,475,The Pursuit of Happyness,307127625.0,163566459.0,53.3,143561166.0,46.7,2006
472,476,Rise of the Guardians,306941670.0,103412758.0,33.7,203528912.0,66.3,2012
473,477,Close Encounters of the Third Kind,306898466.0,135189114.0,44.0,171709352.0,56.0,1977
474,478,Chicago,306776732.0,170687518.0,55.6,136089214.0,44.4,2002
475,479,Annabelle: Creation,306515884.0,102092201.0,33.3,204423683.0,66.7,2017
476,480,Wonder,305937718.0,132422809.0,43.3,173514909.0,56.7,2017
477,481,Skyscraper,304868961.0,68420120.0,22.4,236448841.0,77.6,2018
478,482,A Good Day to Die Hard,304654182.0,67349198.0,22.1,237304984.0,77.9,2013
479,483,Mulan,304320254.0,120620254.0,39.6,183700000.0,60.4,1998
480,484,Dangal,303723636.0,12391761.0,4.1,291331875.0,95.9,2016
481,485,Passengers,303144152.0,100014699.0,33.0,203129453.0,67.0,2016
482,486,Battleship,303025485.0,65422625.0,21.6,237602860.0,78.4,2012
483,487,Liar Liar,302710615.0,181410615.0,59.9,121300000.0,40.1,1997
484,488,G.I. Joe: The Rise of Cobra,302469017.0,150201498.0,49.7,152267519.0,50.3,2009
485,489,Wrath of the Titans,301970083.0,83670083.0,27.7,218300000.0,72.3,2012
486,490,Fantastic 4: Rise of the Silver Surfer,301913131.0,131921738.0,43.7,169991393.0,56.3,2007
487,491,Hook,300854823.0,119654823.0,39.8,181200000.0,60.2,1991
488,492,Rocky IV,300473716.0,127873716.0,42.6,172600000.0,57.4,1985
489,493,Superman,300451603.0,134451603.0,44.8,166000000.0,55.2,1978
490,494,Rambo: First Blood Part II,300400432.0,150415432.0,50.1,149985000.0,49.9,1985
491,495,Resident Evil: Afterlife,300228084.0,60128566.0,20.0,240099518.0,80.0,2010
492,496,Van Helsing,300157638.0,120177084.0,40.0,179980554.0,60.0,2004
493,497,Stuart Little,300135367.0,140035367.0,46.7,160100000.0,53.3,1999
494,498,Beverly Hills Cop II,299965036.0,153665036.0,51.2,146300000.0,48.8,1987
495,499,Alice Through the Looking Glass,299457024.0,77041381.0,25.7,222415643.0,74.3,2016
496,500,My Best Friend's Wedding,299288605.0,127120029.0,42.5,172168576.0,57.5,1997
497,501,Real Steel,299268508.0,85468508.0,28.6,213800000.0,71.4,2011
498,502,Horton Hears a Who!,298572799.0,154529439.0,51.8,144043360.0,48.2,2008
499,503,Ocean's Eight,297718711.0,140218711.0,47.1,157500000.0,52.9,2018
500,504,Insurgent,297002527.0,130179072.0,43.8,166823455.0,56.2,2015
501,505,Look Who's Talking,296999813.0,140088813.0,47.2,156911000.0,52.8,1989
502,506,Austin Powers in Goldmember,296938801.0,213307889.0,71.8,83630912.0,28.200000000000003,2002
503,507,Miss Peregrine's Home for Peculiar Children,296482446.0,87242834.0,29.4,209239612.0,70.6,2016
504,508,X-Men,296339528.0,157299718.0,53.1,139039810.0,46.9,2000
505,509,Ferdinand,296069199.0,84410380.0,28.5,211658819.0,71.5,2017
506,510,Ghostbusters,295743767.0,242582079.0,82.0,53161688.0,18.0,1984
507,511,Shutter Island,294804195.0,128012934.0,43.4,166791261.0,56.6,2010
508,512,Doctor Dolittle,294456605.0,144156605.0,49.0,150300000.0,51.0,1998
509,513,Bee Movie,293514336.0,126631277.0,43.1,166883059.0,56.9,2007
510,514,Salt,293503354.0,118311368.0,40.3,175191986.0,59.7,2010
511,515,G-Force,292817841.0,119436770.0,40.8,173381071.0,59.2,2009
512,516,The Departed,291465034.0,132384315.0,45.4,159080719.0,54.6,2006
513,517,What Lies Beneath,291420351.0,155464351.0,53.4,135956000.0,46.6,2000
514,518,Pacific Rim: Uprising,290930148.0,59874525.0,20.6,231055623.0,79.4,2018
515,519,The Bourne Supremacy,290835269.0,176241941.0,60.6,114593328.0,39.4,2004
516,520,Sex and the City 2,290745055.0,95347692.0,32.8,195397363.0,67.2,2010
517,521,Shakespeare in Love,289317794.0,100317794.0,34.7,189000000.0,65.3,1998
518,522,Divergent,288885818.0,150947895.0,52.2,137937923.0,47.8,2014
519,523,Coming to America,288752301.0,128152301.0,44.4,160600000.0,55.6,1988
520,524,Wedding Crashers,288467645.0,209255921.0,72.5,79211724.0,27.5,2005
521,525,Bridesmaids,288383523.0,169106725.0,58.6,119276798.0,41.4,2011
522,526,Maze Runner: The Death Cure,288175335.0,58032443.0,20.1,230142892.0,79.9,2018
523,527,Casper,287928194.0,100328194.0,34.8,187600000.0,65.2,1995
524,528,American Pie 2,287553595.0,145103595.0,50.5,142450000.0,49.5,2001
525,529,Pitch Perfect 2,287144079.0,184296230.0,64.2,102847849.0,35.8,2015
526,530,The Green Mile,286801374.0,136801374.0,47.7,150000000.0,52.3,1999
527,531,Oblivion,286168572.0,89107235.0,31.1,197061337.0,68.9,2013
528,532,Elysium,286140700.0,93050117.0,32.5,193090583.0,67.5,2013
529,533,Lethal Weapon 4,285444603.0,130444603.0,45.7,155000000.0,54.3,1998
530,534,John Carter,284139100.0,73078100.0,25.7,211061000.0,74.3,2012
531,535,Paddington,282839394.0,76271832.0,27.0,206567562.0,73.0,2014
532,536,Turbo,282570682.0,83028128.0,29.4,199542554.0,70.6,2013
533,537,Bridget Jones's Diary,281929795.0,71543427.0,25.4,210386368.0,74.6,2001
534,538,The Tourist,278780441.0,67631157.0,24.3,211149284.0,75.7,2010
535,539,Split,278454358.0,138291365.0,49.7,140162993.0,50.3,2017
536,540,Scary Movie,278019771.0,157019771.0,56.5,121000000.0,43.5,2000
537,541,xXx,277448382.0,142109382.0,51.2,135339000.0,48.8,2002
538,542,The Bourne Legacy,276144750.0,113203870.0,41.0,162940880.0,59.0,2012
539,543,Mr. Peabody & Sherman,275698039.0,111506430.0,40.4,164191609.0,59.6,2014
540,544,Scooby-Doo,275650703.0,153294164.0,55.6,122356539.0,44.4,2002
541,545,Lincoln,275293450.0,182207973.0,66.2,93085477.0,33.8,2012
542,546,Lara Croft: Tomb Raider,274703340.0,131168070.0,47.8,143535270.0,52.2,2001
543,547,Tomb Raider,274650803.0,58250803.0,21.2,216400000.0,78.8,2018
544,548,The Expendables,274470394.0,103068524.0,37.6,171401870.0,62.4,2010
545,549,Cloudy with a Chance of Meatballs 2,274325949.0,119793567.0,43.7,154532382.0,56.3,2013
546,550,The Little Mermaid,274176364.0,111543479.0,40.7,162632885.0,59.3,1989
547,551,The Nutty Professor,273961019.0,128814019.0,47.0,145147000.0,53.0,1996
548,552,Jerry Maguire,273552592.0,153952592.0,56.3,119600000.0,43.7,1996
549,553,Bad Boys II,273339556.0,138608444.0,50.7,134731112.0,49.3,2003
550,554,Lilo & Stitch,273144151.0,145794338.0,53.4,127349813.0,46.6,2002
551,555,The Silence of the Lambs,272753884.0,130742922.0,47.9,142010962.0,52.1,1991
552,556,Sonic the Hedgehog,272147762.0,131060702.0,48.2,141087060.0,51.8,2020
553,557,Grown Ups,271430189.0,162001186.0,59.7,109429003.0,40.3,2010
554,558,Neighbors,270665134.0,150157400.0,55.5,120507734.0,44.5,2014
555,559,The Firm,270248367.0,158348367.0,58.6,111900000.0,41.4,1993
556,560,We're the Millers,269994119.0,150394119.0,55.7,119600000.0,44.3,2012
557,561,Gran Torino,269958228.0,148095302.0,54.9,121862926.0,45.1,2008
558,562,"10,000 BC",269784201.0,94784201.0,35.1,175000000.0,64.9,2008
559,563,American Gangster,269755430.0,130164645.0,48.2,139590785.0,51.8,2007
560,564,Epic,268426634.0,107518682.0,40.1,160907952.0,59.9,2013
561,565,Exodus: Gods and Kings,268175631.0,65014513.0,24.2,203161118.0,75.8,2014
562,566,Bambi,267447150.0,102247150.0,38.2,165200000.0,61.8,1942
563,567,The Princess and the Frog,267045765.0,104400899.0,39.1,162644866.0,60.9,2009
564,568,Batman Returns,266903053.0,162902340.0,61.0,104000713.0,39.0,1992
565,569,Indecent Proposal,266614059.0,106614059.0,40.0,160000000.0,60.0,1993
566,570,Something's Gotta Give,265328738.0,124728738.0,47.0,140600000.0,53.0,2003
567,571,Bridget Jones: The Edge of Reason,265126918.0,40226215.0,15.2,224900703.0,84.8,2004
568,572,The Incredible Hulk,264770996.0,134806913.0,50.9,129964083.0,49.1,2008
569,573,Waterworld,264218220.0,88246220.0,33.4,175972000.0,66.6,1995
570,574,The Truman Show,264118201.0,125618201.0,47.6,138500000.0,52.4,1998
571,575,Charlie's Angels,264105545.0,125305545.0,47.4,138800000.0,52.6,2000
572,576,The Fifth Element,264029966.0,63820180.0,24.2,200209786.0,75.8,1997
573,577,Jumanji,262821940.0,100499940.0,38.2,162322000.0,61.8,1995
574,578,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,262552893.0,128505958.0,48.9,134046935.0,51.1,2006
575,579,Robots,262511490.0,128200012.0,48.8,134311478.0,51.2,2005
576,580,Knight and Day,261989769.0,76423035.0,29.2,185566734.0,70.8,2008
577,581,Total Recall,261317921.0,119412921.0,45.7,141905000.0,54.3,1990
578,582,This Is It,261183588.0,72091016.0,27.6,189092572.0,72.4,2009
579,583,Terminator: Dark Fate,261119292.0,62253077.0,23.8,198866215.0,76.2,2019
580,584,The Lone Ranger,260502115.0,89302115.0,34.3,171200000.0,65.7,2013
581,585,Super 8,260095986.0,127004179.0,48.8,133091807.0,51.2,2011
582,586,Mojin - The Lost Legend,259368448.0,1243810.0,0.5,258124638.0,99.5,2015
583,587,Blade Runner 2049,259239658.0,92054159.0,35.5,167185499.0,64.5,2017
584,588,Charlie's Angels: Full Throttle,259175788.0,100830111.0,38.9,158345677.0,61.1,2003
585,589,Rush Hour 3,258097122.0,140125968.0,54.3,117971154.0,45.7,2007
586,590,The Full Monty,257938649.0,45950122.0,17.8,211988527.0,82.2,1997
587,591,Kung Fu Yoga,257743016.0,362657.0,0.1,257380359.0,99.9,2017
588,592,Annabelle,257047661.0,84273813.0,32.8,172773848.0,67.2,2014
589,593,The Village,256697520.0,114197520.0,44.5,142500000.0,55.5,2003
590,594,Lost in Hong Kong,256283912.0,1302281.0,0.5,254981631.0,99.5,2015
591,595,Erin Brockovich,256271286.0,125595205.0,49.0,130676081.0,51.0,2000
592,597,Marley & Me,255743093.0,143153751.0,56.0,112589342.0,44.0,2008
593,598,Halloween,255485178.0,159342015.0,62.4,96143163.0,37.6,2018
594,599,Get Out,255413717.0,176040665.0,68.9,79373052.0,31.099999999999994,2017
595,600,Us,255184580.0,175084580.0,68.6,80100000.0,31.400000000000006,2019
596,601,Cliffhanger,255000211.0,84049211.0,33.0,170951000.0,67.0,1993
597,602,Baahubali 2: The Conclusion,254158390.0,20186659.0,7.9,233971731.0,92.1,2017
598,603,Babe,254134910.0,63658910.0,25.0,190476000.0,75.0,1995
599,604,Men in Black: International,253890701.0,80001807.0,31.5,173888894.0,68.5,2019
600,605,Wild Hogs,253625427.0,168273550.0,66.4,85351877.0,33.599999999999994,2007
601,606,High School Musical 3,252909177.0,90559416.0,35.8,162349761.0,64.2,2008
602,607,Hercules,252712101.0,99112101.0,39.2,153600000.0,60.8,1997
603,608,X-Men: Dark Phoenix,252442974.0,65845974.0,26.1,186597000.0,73.9,2019
604,609,True Grit,252276927.0,171243005.0,67.9,81033922.0,32.099999999999994,2010
605,610,Bean,251212670.0,45319423.0,18.0,205893247.0,82.0,1997
606,611,American Hustle,251171807.0,150117807.0,59.8,101054000.0,40.2,2013
607,612,Enemy of the State,250849789.0,111549836.0,44.5,139299953.0,55.5,1998
608,613,You've Got Mail,250821495.0,115821495.0,46.2,135000000.0,53.8,1998
609,614,Eragon,250425512.0,75030163.0,30.0,175395349.0,70.0,2006
610,615,Brother Bear,250397798.0,85336277.0,34.1,165061521.0,65.9,2003
611,616,The Mask of Zorro,250288523.0,94095523.0,37.6,156193000.0,62.4,1998
612,617,The Ring,249348933.0,129128133.0,51.8,120220800.0,48.2,2002
613,618,The Blair Witch Project,248639099.0,140539099.0,56.5,108100000.0,43.5,1999
614,619,Unbreakable,248118121.0,95011339.0,38.3,153106782.0,61.7,2000
615,620,Journey to the West: The Demons Strike Back,247585244.0,880346.0,0.4,246704898.0,99.6,2017
616,621,Dumb and Dumber,247275374.0,127175374.0,51.4,120100000.0,48.6,1994
617,622,Glass,246999039.0,111048468.0,45.0,135950571.0,55.0,2019
618,623,Grown Ups 2,246984278.0,133668525.0,54.1,113315753.0,45.9,2013
619,624,The Peanuts Movie,246233113.0,130178411.0,52.9,116054702.0,47.1,2015
620,625,Back to the Future Part III,246144250.0,88277583.0,35.9,157866667.0,64.1,1990
621,626,The Godfather,246120974.0,134966411.0,54.8,111154563.0,45.2,1972
622,627,Rango,245724603.0,123477607.0,50.2,122246996.0,49.8,2011
623,628,Four Weddings and a Funeral,245700832.0,52700832.0,21.4,193000000.0,78.6,1994
624,629,Face/Off,245676146.0,112276146.0,45.7,133400000.0,54.3,1997
625,630,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848.0,82051601.0,33.4,163572247.0,66.6,2016
626,631,Dark Shadows,245527149.0,79727149.0,32.5,165800000.0,67.5,2012
627,632,Hulk,245285165.0,132177234.0,53.9,113107931.0,46.1,2003
628,633,The Bravest,245179562.0,290217.0,0.1,244889345.0,99.9,2019
629,635,Love Actually,244931766.0,59696144.0,24.4,185235622.0,75.6,2003
630,636,Pixels,244874809.0,78747585.0,32.2,166127224.0,67.8,2015
631,637,Hercules (2014),244819862.0,72688614.0,29.7,172131248.0,70.3,2014
632,638,Rush Hour,244721064.0,141186864.0,57.7,103534200.0,42.3,1998
633,639,Journey to the Center of the Earth,244232688.0,101704370.0,41.6,142528318.0,58.4,2008
634,640,After Earth,243611982.0,60522097.0,24.8,183089885.0,75.2,2013
635,641,A Few Good Men,243240178.0,141340178.0,58.1,101900000.0,41.9,1992
636,642,Cloudy with a Chance of Meatballs,243006126.0,124870275.0,51.4,118135851.0,48.6,2009
637,643,8 Mile,242875078.0,116750901.0,48.1,126124177.0,51.9,2002
638,644,Daddy's Home,242786137.0,150357137.0,61.9,92429000.0,38.1,2015
639,645,RoboCop,242688965.0,58607007.0,24.2,184081958.0,75.8,2014
640,646,Parasite,242354603.0,51809136.0,21.4,190545467.0,78.6,2019
641,647,Eraser,242295562.0,101295562.0,41.8,141000000.0,58.2,1996
