,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Runtime,Director Facebook Likes,Actor 1 Facebook Likes,Genres,Number of Voted Users,Cast Total Facebook Likes,Language,Country,Content Rating,IMDb Score,Movie Facebook Likes
75,119,Dawn of the Planet of the Apes,710644566.0,208545589.0,29.4,502098977.0,70.6,2014,130.0,198.0,10000.0,Action|Adventure|Drama|Sci-Fi,317542,14363,English,USA,PG-13,7.6,45000
76,120,Transformers,709709780.0,319246193.0,45.0,390463587.0,55.0,2007,144.0,0.0,662.0,Action|Adventure|Sci-Fi,513158,2333,English,USA,PG-13,7.1,8000
77,121,The Amazing Spider-Man 2,708982323.0,202853933.0,28.6,506128390.0,71.4,2014,142.0,464.0,15000.0,Action|Adventure|Fantasy|Sci-Fi,321227,28631,English,USA,PG-13,6.7,41000
78,124,The Twilight Saga: Eclipse,698491347.0,300531751.0,43.0,397959596.0,57.0,2010,124.0,171.0,21000.0,Adventure|Drama|Fantasy|Romance,184637,52547,English,USA,PG-13,4.9,29000
79,125,Mission: Impossible - Ghost Protocol,694713380.0,209397903.0,30.1,485315477.0,69.9,2011,133.0,663.0,10000.0,Action|Adventure|Thriller,365104,21768,English,USA,PG-13,7.4,35000
80,126,The Hunger Games,694394724.0,408010692.0,58.8,286384032.0,41.2,2012,142.0,378.0,34000.0,Adventure|Drama|Sci-Fi|Thriller,701607,49942,English,USA,PG-13,7.3,140000
81,128,Mission: Impossible - Rogue Nation,682714267.0,195042377.0,28.6,487671890.0,71.4,2015,131.0,188.0,10000.0,Action|Adventure|Thriller,232187,21840,English,China,PG-13,7.4,47000
82,129,Forrest Gump,678233702.0,330455270.0,48.7,347778432.0,51.3,1994,142.0,0.0,15000.0,Comedy|Drama,1251222,15700,English,USA,PG-13,8.8,59000
83,131,Interstellar,677471339.0,188020017.0,27.8,489451322.0,72.2,2014,169.0,22000.0,11000.0,Adventure|Drama|Sci-Fi,928227,31488,English,USA,PG-13,8.6,349000
84,132,The Sixth Sense,672806292.0,293506292.0,43.6,379300000.0,56.4,1999,107.0,0.0,13000.0,Drama|Mystery|Thriller,704766,17540,English,USA,PG-13,8.1,14000
85,133,Man of Steel,668045518.0,291045518.0,43.6,377000000.0,56.4,2013,143.0,0.0,15000.0,Action|Adventure|Fantasy|Sci-Fi,548573,20495,English,USA,PG-13,7.2,118000
86,134,Ice Age: The Meltdown,667094506.0,195330621.0,29.3,471763885.0,70.7,2006,115.0,107.0,835.0,Action|Adventure|Animation|Comedy|Family|Fantasy,194249,1815,English,USA,PG,6.9,0
87,135,Kung Fu Panda 2,665692281.0,165249063.0,24.8,500443218.0,75.2,2011,90.0,90.0,11000.0,Action|Adventure|Animation|Comedy|Family,182718,21015,English,USA,PG,7.3,20000
88,136,The Hunger Games: Mockingjay - Part 2,658344137.0,281723902.0,42.8,376620235.0,57.2,2015,137.0,508.0,34000.0,Adventure|Sci-Fi,166137,81385,English,USA,PG-13,6.6,38000
89,138,Big Hero 6,657827828.0,222527828.0,33.8,435300000.0,66.2,2014,102.0,38.0,756.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,279093,2963,English,USA,PG,7.9,41000
90,140,Pirates of the Caribbean: The Curse of the Black Pearl,654264015.0,305413918.0,46.7,348850097.0,53.3,2003,143.0,563.0,40000.0,Action|Adventure|Fantasy,809474,48184,English,USA,PG-13,8.1,10000
91,141,Star Wars: Episode II - Attack of the Clones,653779970.0,310676740.0,47.5,343103230.0,52.5,2002,142.0,0.0,20000.0,Action|Adventure|Fantasy|Sci-Fi,464310,42990,English,USA,PG,6.7,0
92,142,Thor: The Dark World,644783140.0,206362140.0,32.0,438421000.0,68.0,2013,112.0,230.0,26000.0,Action|Adventure|Fantasy,414070,59803,English,USA,PG-13,7.1,63000
93,144,"Monsters, Inc.",632316649.0,289916256.0,45.8,342400393.0,54.2,2001,92.0,0.0,12000.0,Adventure|Animation|Comedy|Family|Fantasy,585659,15013,English,USA,G,8.1,0
94,145,Kung Fu Panda,631746197.0,215434591.0,34.1,416311606.0,65.9,2008,92.0,54.0,11000.0,Action|Adventure|Animation|Comedy|Family,307029,12754,English,USA,PG,7.6,6000
95,146,The Incredibles,631606713.0,261441092.0,41.4,370165621.0,58.6,2004,115.0,663.0,1000.0,Action|Adventure|Animation|Family,479166,1901,English,USA,PG,8.0,0
96,147,The Martian,630161890.0,228433663.0,36.2,401728227.0,63.8,2015,151.0,0.0,13000.0,Adventure|Drama|Sci-Fi,472488,14831,English,USA,PG-13,8.1,153000
97,148,Hancock,629443428.0,227946274.0,36.2,401497154.0,63.8,2008,102.0,532.0,10000.0,Action|Drama,343648,21584,English,USA,PG-13,6.4,0
98,149,Fast Five,626137675.0,209837675.0,33.5,416300000.0,66.5,2011,132.0,681.0,23000.0,Action|Crime|Thriller,284792,55345,English,USA,PG-13,7.3,54000
99,150,Men in Black 3,624026776.0,179020854.0,28.7,445005922.0,71.3,2012,106.0,188.0,10000.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,268154,12572,English,USA,PG-13,6.8,40000
100,151,Iron Man 2,623933331.0,312433331.0,50.1,311500000.0,49.9,2010,124.0,4000.0,21000.0,Action|Adventure|Sci-Fi,522371,48638,English,USA,PG-13,7.0,18000
101,152,Ratatouille,623726085.0,206445654.0,33.1,417280431.0,66.9,2007,111.0,663.0,1000.0,Animation|Comedy|Family|Fantasy,473887,4764,English,USA,G,8.0,10000
102,154,How to Train Your Dragon 2,621537519.0,177002924.0,28.5,444534595.0,71.5,2014,102.0,255.0,18000.0,Action|Adventure|Animation|Comedy|Family|Fantasy,221128,23378,English,USA,PG,7.9,46000
103,156,The Lost World: Jurassic Park,618638999.0,229086679.0,37.0,389552320.0,63.0,1997,129.0,14000.0,610.0,Action|Adventure|Sci-Fi,278362,1635,English,USA,PG-13,6.5,0
104,157,Casino Royale,616501619.0,167445960.0,27.2,449055659.0,72.8,2006,144.0,258.0,6000.0,Action|Adventure|Thriller,470501,9125,English,UK,PG-13,8.0,0
105,158,The Passion of the Christ,612054428.0,370782930.0,60.6,241271498.0,39.4,2004,120.0,0.0,260.0,Drama,179235,705,Aramaic,USA,R,7.1,13000
106,159,Mamma Mia!,609896805.0,144169664.0,23.6,465727141.0,76.4,2008,108.0,58.0,14000.0,Comedy|Family|Musical|Romance,145974,26002,English,USA,PG-13,6.3,10000
107,160,Life of Pi,609016565.0,124987023.0,20.5,484029542.0,79.5,2012,127.0,0.0,774.0,Adventure|Drama|Fantasy,440084,2121,English,USA,PG,8.0,122000
108,162,Madagascar: Escape 2 Africa,603900354.0,180010950.0,29.8,423889404.0,70.2,2008,89.0,35.0,1000.0,Action|Adventure|Animation|Comedy|Family,146019,3285,English,USA,PG,6.7,0
109,163,War of the Worlds,603873119.0,234280354.0,38.8,369592765.0,61.2,2005,116.0,14000.0,10000.0,Adventure|Sci-Fi|Thriller,334345,12758,English,USA,PG-13,6.5,0
110,164,Tangled,592461732.0,200821936.0,33.9,391639796.0,66.1,2010,100.0,15.0,799.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,294810,2036,English,USA,PG,7.8,29000
111,165,Quantum of Solace,589580482.0,168368427.0,28.6,421212055.0,71.4,2008,106.0,395.0,451.0,Action|Adventure,330784,2023,English,UK,PG-13,6.7,0
112,166,Men in Black,589390539.0,250690539.0,42.5,338700000.0,57.5,1997,98.0,188.0,10000.0,Adventure|Comedy|Family|Mystery|Sci-Fi,403014,12998,English,USA,PG-13,7.3,0
113,167,The Croods,587204668.0,187168425.0,31.9,400036243.0,68.1,2013,98.0,16.0,16000.0,Adventure|Animation|Comedy|Family|Fantasy,150618,43286,English,USA,PG,7.3,28000
114,168,The Hangover Part II,586764305.0,254464305.0,43.4,332300000.0,56.6,2011,102.0,480.0,14000.0,Comedy,375879,16143,English,USA,R,6.5,56000
115,169,I Am Legend,585410052.0,256393010.0,43.8,329017042.0,56.2,2007,104.0,508.0,10000.0,Drama|Horror|Sci-Fi,530870,13076,English,USA,PG-13,7.2,11000
116,170,Iron Man,585366247.0,318604126.0,54.4,266762121.0,45.6,2008,126.0,4000.0,21000.0,Action|Adventure|Sci-Fi,696338,39252,English,USA,PG-13,7.9,10000
117,173,Night at the Museum,574480841.0,250863268.0,43.7,323617573.0,56.3,2006,108.0,189.0,49000.0,Action|Adventure|Comedy|Family|Fantasy,234480,55486,English,USA,PG,6.4,3000
118,174,Fifty Shades of Grey,569651467.0,166167230.0,29.2,403484237.0,70.8,2015,129.0,456.0,1000.0,Drama|Romance,220020,4585,English,USA,R,4.1,101000
119,176,The Smurfs,563749323.0,142614158.0,25.3,421135165.0,74.7,2011,103.0,67.0,383.0,Adventure|Animation|Comedy|Family|Fantasy,66593,692,English,USA,PG,5.5,31000
120,177,King Kong,562363449.0,218080025.0,38.8,344283424.0,61.2,2005,201.0,0.0,6000.0,Action|Adventure|Drama|Romance,316018,7123,English,New Zealand,PG-13,7.2,0
121,178,Cars 2,559852396.0,191452396.0,34.2,368400000.0,65.8,2011,106.0,487.0,1000.0,Adventure|Animation|Comedy|Family|Sport,101178,4482,English,USA,G,6.3,10000
122,179,Puss in Boots,554987477.0,149260504.0,26.9,405726973.0,73.1,2011,90.0,50.0,4000.0,Action|Adventure|Animation|Comedy|Family|Fantasy,114287,5046,English,USA,PG,6.7,16000
123,181,Armageddon,553709788.0,201578182.0,36.4,352131606.0,63.6,1998,153.0,0.0,13000.0,Action|Adventure|Sci-Fi|Thriller,322395,26029,English,USA,PG-13,6.6,11000
124,182,The Day After Tomorrow,552639571.0,186740799.0,33.8,365898772.0,66.2,2004,124.0,776.0,15000.0,Action|Adventure|Sci-Fi|Thriller,333248,20553,English,USA,PG-13,6.4,19000
125,183,Ted,549368315.0,218815487.0,39.8,330552828.0,60.2,2012,112.0,3000.0,15000.0,Comedy|Fantasy,471644,21773,English,USA,R,7.0,74000
126,184,Star Wars: Episode V - The Empire Strikes Back,547897454.0,290271960.0,53.0,257625494.0,47.0,1980,127.0,883.0,11000.0,Action|Adventure|Fantasy|Sci-Fi,837759,12643,English,USA,PG,8.8,17000
127,185,American Sniper,547426372.0,350126372.0,64.0,197300000.0,36.0,2014,133.0,16000.0,14000.0,Action|Biography|Drama|History|Thriller|War,325264,16277,English,USA,R,7.3,112000
128,186,Mission: Impossible II,546388108.0,215409889.0,39.4,330978219.0,60.6,2000,123.0,610.0,10000.0,Action|Adventure|Thriller,242188,11930,English,USA,PG-13,6.1,0
129,188,X-Men: Apocalypse,543934105.0,155442489.0,28.6,388491616.0,71.4,2016,144.0,0.0,34000.0,Action|Adventure|Sci-Fi,148379,49684,English,USA,PG-13,7.3,54000
130,189,Sherlock Holmes: A Game of Shadows,543848418.0,186848418.0,34.4,357000000.0,65.6,2011,129.0,0.0,21000.0,Action|Adventure|Crime|Mystery|Thriller,338635,22403,English,USA,PG-13,7.5,39000
131,190,Despicable Me,543113985.0,251513985.0,46.3,291600000.0,53.7,2010,87.0,275.0,7000.0,Animation|Comedy|Family,385943,11608,English,USA,PG,7.7,31000
132,191,Cinderella,542351353.0,201151353.0,37.1,341200000.0,62.9,2015,105.0,0.0,2000.0,Drama|Family|Fantasy|Romance,103737,4671,English,USA,PG,7.0,56000
